Ma ck,gia,eps,pe,gt so sach,klgd10,kl niem yet,kl luu hanh,von hoa
HPX,27.7,1.6,16.97,11.78,513440.0,229995506.0,291990902.0,7942.15
HQC,1.71,0.04,43.42,9.1,7155908.0,476600000.0,476599274.0,810.22
HRB,27.0,3.06,8.82,20.21,,6338400.0,6338400.0,171.14
HRC,40.05,0.29,127.79,17.61,296.0,30206622.0,30206622.0,1126.71
HRG,6.6,0.32,20.81,11.03,,2650000.0,2650000.0,17.49
HSC,179.4,inf,,14.15,,580000.0,580000.0,104.05
HSG,20.9,2.58,8.13,14.81,13258144.0,444625213.0,444369913.0,9309.55
HSL,7.0,1.49,4.77,15.01,292426.0,17167144.0,17167452.0,111.76
HSM,9.8,0.71,13.85,22.77,80.0,20500000.0,20500000.0,200.9
HSP,11.7,0.69,16.93,14.88,,12027086.0,12027086.0,140.72
HST,6.4,0.68,9.41,11.52,,1500000.0,1488440.0,9.53
HT1,16.7,1.77,9.38,14.93,1408638.0,381589911.0,381541911.0,6352.67
HT2,14.3,inf,,11.8,102312.0,88000000.0,88000000.0,1161.55
HTB,21.3,inf,,10.11,,1800000.0,1800000.0,38.34
HTC,28.0,3.59,7.8,24.97,370.0,11000000.0,11000000.0,308.0
HTE,6.9,0.38,18.22,9.21,18759.0,23608165.0,23837245.0,166.86
HTG,18.8,3.44,5.4,19.17,5146.0,22500000.0,22500000.0,418.5
HTI,14.65,2.49,5.81,18.54,113809.0,24949200.0,24949200.0,360.52
HTK,10.0,1.27,7.9,46.36,,1458710.0,1458710.0,14.59
HTL,16.3,1.08,14.77,16.7,3366.0,12000000.0,12000000.0,192.0
HTM,10.9,0.43,25.1,10.28,13813.0,220000000.0,219958600.0,2375.55
HTN,43.6,12.21,3.62,30.72,143415.0,33062221.0,33062221.0,1459.7
HTP,9.0,0.18,50.17,12.03,153.0,1804980.0,1645580.0,14.81
HTR,9.3,1.55,6.02,12.32,,1500700.0,1500700.0,13.96
HTU,8.9,0.26,34.8,11.08,,16438382.0,16438382.0,146.3
HTV,12.7,1.97,6.44,25.31,5963.0,13104000.0,13104000.0,166.42
HTW,10.0,0.39,25.91,19.28,,20400893.0,20400893.0,204.01
HU1,7.85,0.9,8.65,13.53,4604.0,10000000.0,10000000.0,77.9
HU3,7.12,0.38,17.75,15.01,369.0,9999944.0,9999944.0,67.1
HU4,8.0,1.17,6.86,13.34,2220.0,15000000.0,15000000.0,120.0
HU6,6.0,0.84,7.17,11.77,690.0,7500000.0,7500000.0,45.0
HUB,20.05,4.22,4.75,26.37,24441.0,15246000.0,19057316.0,382.1
HUG,31.8,4.92,6.46,18.6,10.0,16259725.0,16259725.0,517.06
HVA,4.0,0.23,17.04,10.15,4930.0,5650000.0,5650000.0,22.6
HVC,14.1,3.64,3.87,17.87,,6920750.0,6920750.0,97.58
HVH,8.96,1.23,7.3,13.95,154060.0,21949995.0,21949995.0,197.55
HVT,31.0,3.04,10.19,20.24,1281.0,10988059.0,10988280.0,340.64
HVX,3.1,0.1,30.42,10.57,530.0,38525250.0,41525250.0,129.56
HWS,11.5,0.95,12.07,10.81,1180.0,87600000.0,87452500.0,1005.7
I10,0.8,1.76,0.45,-3.43,,3500000.0,3500000.0,2.8
